game,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,players_right_now
UnderDungeon,2023-01-13,7,45,2,47,81.48,0
Forrader Hero,2023-01-23,28,45,2,47,81.48,0
Forest Of Relics,2023-01-25,10,45,2,47,81.48,1
Helvetii,2023-02-03,21,36,1,37,81.47,0
Deadnaut: Signal Lost,2023-03-28,56,36,1,37,81.47,4
Mythargia,2023-02-20,7,26,0,26,81.46,0
FUR Squadron,2023-03-16,5,26,0,26,81.46,0
Iron Mandate,2023-03-11,42,69,5,74,81.45,11
Dice Kingdoms,2023-04-03,110,53,3,56,81.42,32
Ancient Saga: Vikings Journey - Resource Management Simulator,2023-03-10,20,53,3,56,81.42,2
Puppet Master: The Game,2023-03-01,249,293,40,333,81.38,16
SpaceBourne 2,2023-02-17,1241,1384,241,1625,81.37,740
The Wreck,2023-03-14,20,68,5,73,81.34,2
Paperback Adventures,2023-01-30,22,44,2,46,81.33,2
Digimon World: Next Order,2023-02-21,1685,429,64,493,81.3,192
World Of Mystery,2023-01-08,362,117,12,129,81.3,12
Toy Tactics,2023-03-17,12,35,1,36,81.3,0
Star Ring,2023-01-20,38,52,3,55,81.29,2
山海灵妖录,2023-03-03,362,434,65,499,81.28,119
Tactical Assault VR,2023-03-27,185,278,38,316,81.27,53
The Director's Disorder: Pilot Episode,2023-01-19,57,162,19,181,81.26,0
Agent in Depth,2023-01-20,20,103,10,113,81.26,0
Buildest,2023-03-24,10,25,0,25,81.25,0
BLACK★ACADEMY,2023-03-17,11,25,0,25,81.25,1
No:Worse,2023-03-16,6,25,0,25,81.25,0
Konkan Coast Pirate Solutions,2023-03-01,6,25,0,25,81.25,1
I commissioned some cats,2023-02-16,11,25,0,25,81.25,2
September 7th,2023-01-06,149,808,134,942,81.22,15
Magic Research,2023-03-23,1109,59,4,63,81.17,785
Shiner,2023-03-18,28,59,4,63,81.17,3
Nienix,2023-03-24,352,179,22,201,81.15,55
2112TD: Tower Defense Survival,2023-01-19,332,172,21,193,81.11,27
Lost Cartridge - Cold Read,2023-12-31,15,34,1,35,81.11,0
Zedfest,2023-04-07,19,159,19,178,81.07,5
Hero's Quest: Automatic Roguelite RPG,2023-03-16,137,80,7,87,81.05,38
Belle Automata,2023-03-03,13,24,0,24,81.03,0
Takara Cards,2023-03-28,5,24,0,24,81.03,0
Chief Emoji Officer,2023-04-07,7,24,0,24,81.03,0
Pipe Dreams,2023-03-31,5,24,0,24,81.03,0
Citizens: Far Lands - Prologue,2023-03-07,145,100,10,110,81.0,3
SATUS,2023-02-10,13,42,2,44,81.0,0
Like a Dragon: Ishin!,2023-02-21,8461,2315,437,2752,80.98,698
Spectator,2023-02-07,16,65,5,70,80.98,3
The Wall Mustn't Fall,2023-01-09,43,33,1,34,80.92,2
The Voidness - LIDAR Horror Survival Game,2023-04-07,23,33,1,34,80.92,4
Bad cat Sam,2023-01-25,12,57,4,61,80.9,0
Lucie Adult Game HD,2023-01-10,120,92,9,101,80.88,12
X Invader: Prologue,2023-02-01,549,451,71,522,80.87,28
United heist,2023-02-12,335,732,124,856,80.86,22
Monster Girl 1000,2023-04-02,416,49,3,52,80.84,209
Under Maintenance,2023-02-14,34,41,2,43,80.83,3
Labyrinth of Galleria: The Moon Society,2023-02-14,859,197,26,223,80.82,119
Sakura Succubus 7,2023-03-06,22,23,0,23,80.79,1
Speedonauts,2023-02-21,5,23,0,23,80.79,0
Gum Ball Run,2023-01-09,206,440,70,510,80.72,13
Lovely Crush,2023-04-10,15,32,1,33,80.72,0
The Test: Secrets of the Soul 2,2023-04-10,9,32,1,33,80.72,0
Warman,2023-04-03,26,48,3,51,80.69,7
Sorry We're Open,2023-02-18,19,40,2,42,80.66,1
Athenian Rhapsody: Thunder Goober's Personality Dungeon,2023-03-23,13,40,2,42,80.66,3
Earth's Shadow,2023-01-31,15,69,6,75,80.6,1
Cold Shell,2023-02-28,5,22,0,22,80.54,2
Oedo Trigger!!,2023-01-13,29,22,0,22,80.54,3
TeamPunk,2023-01-20,8,22,0,22,80.54,0
Museum of Monoliths,2023-02-28,3,22,0,22,80.54,0
Apex Armor Swap Trainer,2023-04-07,15,22,0,22,80.54,3
I Won't Forget Hue,2023-01-20,32,120,14,134,80.52,0
Squirrel Launcher,2023-01-31,32,120,14,134,80.52,2
HYPERBLADE,2023-02-01,9,31,1,32,80.51,0
Deflector,2023-03-24,629,225,32,257,80.49,10
Family curse,2023-03-31,23,39,2,41,80.48,4
Horde Hunters,2023-02-16,47,39,2,41,80.48,3
Bone Dust,2023-02-21,13,54,4,58,80.47,0
LUNARK,2023-03-30,57,94,10,104,80.44,12
Undead Horde 2: Necropolis,2023-03-30,839,177,24,201,80.36,77
The Beast In The Cave,2023-02-07,21,46,3,49,80.36,0
The Fernweh Saga: Book One,2023-01-05,114,67,6,73,80.34,1
Nope Nope Nope Nurses,2023-01-20,20,53,4,57,80.32,3
bearcycle,2023-03-03,11,30,1,31,80.3,2
Wet Sand,2023-01-06,9,30,1,31,80.3,1
Keep the Keep,2023-03-15,4,21,0,21,80.28,0
First Racer,2023-04-05,10,21,0,21,80.28,0
Super Greedy Cat,2023-03-29,4,21,0,21,80.28,0
Endless Nesla,2023-01-24,4,21,0,21,80.28,0
메스가키 영애님!,2023-01-20,22,66,6,72,80.21,2
远征三国-策略卡牌,2023-02-17,49,104,12,116,80.2,5
The Simulacrum,2023-01-17,16,45,3,48,80.19,0
Germinal,2023-03-09,10,37,2,39,80.09,2
Offroad Mechanic Simulator: Prologue - First Job,2023-04-03,58,37,2,39,80.09,21
三国真龙传,2023-02-13,12,37,2,39,80.09,5
